timesteps,episode,success
24045,1058,1
24048,1059,1
24051,1060,1
24057,1061,1
24064,1062,1
24066,1063,1
24067,1064,1
24071,1065,1
24075,1066,1
24082,1067,1
24085,1068,1
24092,1069,1
24099,1070,1
24101,1071,1
24151,1072,0
24159,1073,1
24162,1074,1
24173,1075,1
24176,1076,1
24178,1077,1
24183,1078,1
24191,1079,1
24193,1080,1
24195,1081,1
24201,1082,1
24203,1083,1
24208,1084,1
24209,1085,1
24213,1086,1
24219,1087,1
24223,1088,1
24227,1089,1
24231,1090,1
24238,1091,1
24240,1092,1
24243,1093,1
24249,1094,1
24253,1095,1
24254,1096,1
24257,1097,1
24263,1098,1
24268,1099,1
24316,1100,1
24318,1101,1
24320,1102,1
24321,1103,1
24324,1104,1
24325,1105,1
24329,1106,1
24335,1107,1
24336,1108,1
24340,1109,1
24344,1110,1
24350,1111,1
24353,1112,1
24356,1113,1
24360,1114,1
24364,1115,1
24368,1116,1
24374,1117,1
24378,1118,1
24384,1119,1
24386,1120,1
24387,1121,1
24396,1122,1
24399,1123,1
24402,1124,1
24405,1125,1
24411,1126,1
24419,1127,1
24424,1128,1
24428,1129,1
24443,1130,1
24450,1131,1
24453,1132,1
24458,1133,1
24460,1134,1
24510,1135,0
24513,1136,1
24516,1137,1
24523,1138,1
24524,1139,1
24526,1140,1
24527,1141,1
24530,1142,1
24533,1143,1
24537,1144,1
24544,1145,1
24547,1146,1
24553,1147,1
24555,1148,1
24557,1149,1
24561,1150,1
24566,1151,1
24570,1152,1
24573,1153,1
24581,1154,1
24586,1155,1
24589,1156,1
24592,1157,1
24596,1158,1
24609,1159,1
24617,1160,1
24624,1161,1
24626,1162,1
24629,1163,1
24660,1164,1
24666,1165,1
24668,1166,1
24673,1167,1
24675,1168,1
24678,1169,1
24684,1170,1
24690,1171,1
24694,1172,1
24698,1173,1
24702,1174,1
24705,1175,1
24712,1176,1
24719,1177,1
24721,1178,1
24725,1179,1
24726,1180,1
24731,1181,1
24740,1182,1
24745,1183,1
24750,1184,1
24754,1185,1
24756,1186,1
24761,1187,1
24764,1188,1
24770,1189,1
24773,1190,1
24775,1191,1
24781,1192,1
24784,1193,1
24786,1194,1
24791,1195,1
24795,1196,1
24797,1197,1
24803,1198,1
24816,1199,1
24818,1200,1
24822,1201,1
24828,1202,1
24832,1203,1
24835,1204,1
24841,1205,1
24845,1206,1
24849,1207,1
24855,1208,1
24858,1209,1
24865,1210,1
24869,1211,1
24873,1212,1
24874,1213,1
24881,1214,1
24884,1215,1
24891,1216,1
24893,1217,1
24899,1218,1
24903,1219,1
24907,1220,1
24910,1221,1
24928,1222,1
24932,1223,1
24935,1224,1
24945,1225,1
24949,1226,1
24953,1227,1
24956,1228,1
24959,1229,1
24961,1230,1
24962,1231,1
24971,1232,1
24974,1233,1
24986,1234,1
24996,1235,1
24998,1236,1
24999,1237,1
25008,1238,1
25011,1239,1
25016,1240,1
25017,1241,1
25020,1242,1
25022,1243,1
25023,1244,1
25026,1245,1
25031,1246,1
25038,1247,1
25042,1248,1
25047,1249,1
25052,1250,1
25055,1251,1
25060,1252,1
25062,1253,1
25067,1254,1
25079,1255,1
25082,1256,1
25084,1257,1
25087,1258,1
25092,1259,1
25099,1260,1
25102,1261,1
25105,1262,1
25114,1263,1
25116,1264,1
25129,1265,1
25139,1266,1
25146,1267,1
25149,1268,1
25153,1269,1
25154,1270,1
25156,1271,1
25159,1272,1
25164,1273,1
25167,1274,1
25170,1275,1
25172,1276,1
25177,1277,1
25182,1278,1
25184,1279,1
25186,1280,1
25190,1281,1
25198,1282,1
25199,1283,1
25202,1284,1
25204,1285,1
25206,1286,1
25209,1287,1
25213,1288,1
25216,1289,1
25219,1290,1
25228,1291,1
25232,1292,1
25234,1293,1
25242,1294,1
25244,1295,1
25248,1296,1
25251,1297,1
25254,1298,1
25257,1299,1
25260,1300,1
25261,1301,1
25264,1302,1
25274,1303,1
25279,1304,1
25294,1305,1
25297,1306,1
25299,1307,1
25300,1308,1
25303,1309,1
25305,1310,1
25308,1311,1
25313,1312,1
25314,1313,1
25317,1314,1
25319,1315,1
25326,1316,1
25329,1317,1
25335,1318,1
25341,1319,1
25345,1320,1
25347,1321,1
25349,1322,1
25364,1323,1
25367,1324,1
25377,1325,1
25380,1326,1
25381,1327,1
25387,1328,1
25389,1329,1
25395,1330,1
25398,1331,1
25401,1332,1
25409,1333,1
25413,1334,1
25417,1335,1
25420,1336,1
25422,1337,1
25426,1338,1
25454,1339,1
25457,1340,1
25458,1341,1
25460,1342,1
25468,1343,1
25470,1344,1
25475,1345,1
25478,1346,1
25481,1347,1
25484,1348,1
25486,1349,1
25493,1350,1
25497,1351,1
25502,1352,1
25505,1353,1
25506,1354,1
25511,1355,1
25561,1356,0
25568,1357,1
25570,1358,1
25573,1359,1
25575,1360,1
25577,1361,1
25580,1362,1
25584,1363,1
25588,1364,1
25590,1365,1
25592,1366,1
25600,1367,1
25603,1368,1
25609,1369,1
25613,1370,1
25616,1371,1
25618,1372,1
25622,1373,1
25625,1374,1
25627,1375,1
25631,1376,1
25632,1377,1
25638,1378,1
25642,1379,1
25645,1380,1
25647,1381,1
25650,1382,1
25654,1383,1
25657,1384,1
25659,1385,1
25663,1386,1
25667,1387,1
25668,1388,1
25669,1389,1
25674,1390,1
25677,1391,1
25678,1392,1
25683,1393,1
25687,1394,1
25693,1395,1
25700,1396,1
25702,1397,1
25705,1398,1
25708,1399,1
25714,1400,1
25720,1401,1
25723,1402,1
25724,1403,1
25727,1404,1
25732,1405,1
25736,1406,1
25740,1407,1
25743,1408,1
25753,1409,1
25757,1410,1
25759,1411,1
25763,1412,1
25769,1413,1
25771,1414,1
25774,1415,1
25777,1416,1
25779,1417,1
25782,1418,1
25784,1419,1
25789,1420,1
25792,1421,1
25794,1422,1
25804,1423,1
25805,1424,1
25810,1425,1
25815,1426,1
25821,1427,1
25822,1428,1
25830,1429,1
25833,1430,1
25835,1431,1
25838,1432,1
25845,1433,1
25848,1434,1
25855,1435,1
25858,1436,1
25861,1437,1
25865,1438,1
25869,1439,1
25875,1440,1
25878,1441,1
25884,1442,1
25891,1443,1
25897,1444,1
25900,1445,1
25910,1446,1
25911,1447,1
25915,1448,1
25918,1449,1
25920,1450,1
25924,1451,1
25927,1452,1
25931,1453,1
25940,1454,1
25943,1455,1
25945,1456,1
25948,1457,1
25952,1458,1
25954,1459,1
25959,1460,1
25960,1461,1
25966,1462,1
25970,1463,1
25973,1464,1
25977,1465,1
25980,1466,1
25984,1467,1
25985,1468,1
25988,1469,1
25992,1470,1
25995,1471,1
26000,1472,1
26005,1473,1
26009,1474,1
26015,1475,1
26019,1476,1
26034,1477,1
26043,1478,1
26047,1479,1
26049,1480,1
26057,1481,1
26063,1482,1
26066,1483,1
26069,1484,1
26073,1485,1
26079,1486,1
26082,1487,1
26091,1488,1
26094,1489,1
26098,1490,1
26102,1491,1
26106,1492,1
26111,1493,1
26115,1494,1
26118,1495,1
26122,1496,1
26123,1497,1
26126,1498,1
26130,1499,1
26134,1500,1
26137,1501,1
26141,1502,1
26146,1503,1
26149,1504,1
26152,1505,1
26153,1506,1
26156,1507,1
26162,1508,1
26171,1509,1
26182,1510,1
26191,1511,1
26194,1512,1
26202,1513,1
26205,1514,1
26210,1515,1
26214,1516,1
26218,1517,1
26223,1518,1
26230,1519,1
26234,1520,1
26236,1521,1
26239,1522,1
26242,1523,1
26245,1524,1
26248,1525,1
26251,1526,1
26252,1527,1
26256,1528,1
26266,1529,1
26269,1530,1
26273,1531,1
26276,1532,1
26281,1533,1
26286,1534,1
26290,1535,1
26296,1536,1
26299,1537,1
26302,1538,1
26308,1539,1
26309,1540,1
26315,1541,1
26319,1542,1
26324,1543,1
26328,1544,1
26330,1545,1
26334,1546,1
26338,1547,1
26341,1548,1
26345,1549,1
26349,1550,1
26351,1551,1
26356,1552,1
26360,1553,1
26367,1554,1
26371,1555,1
26374,1556,1
26377,1557,1
26381,1558,1
26385,1559,1
26388,1560,1
26395,1561,1
26397,1562,1
26401,1563,1
26409,1564,1
26417,1565,1
26420,1566,1
26424,1567,1
26426,1568,1
26427,1569,1
26434,1570,1
26437,1571,1
26441,1572,1
26443,1573,1
26445,1574,1
26491,1575,1
26494,1576,1
26499,1577,1
26503,1578,1
26506,1579,1
26509,1580,1
26513,1581,1
26517,1582,1
26521,1583,1
26523,1584,1
26529,1585,1
26532,1586,1
26535,1587,1
26536,1588,1
26542,1589,1
26546,1590,1
26550,1591,1
26552,1592,1
26559,1593,1
26563,1594,1
26567,1595,1
26569,1596,1
26573,1597,1
26577,1598,1
26581,1599,1
26585,1600,1
26588,1601,1
26593,1602,1
26597,1603,1
26598,1604,1
26599,1605,1
26603,1606,1
26609,1607,1
26614,1608,1
26620,1609,1
26624,1610,1
26628,1611,1
26630,1612,1
26633,1613,1
26634,1614,1
26638,1615,1
26641,1616,1
26644,1617,1
26648,1618,1
26653,1619,1
26655,1620,1
26659,1621,1
26662,1622,1
26664,1623,1
26665,1624,1
26669,1625,1
26674,1626,1
26679,1627,1
26686,1628,1
26689,1629,1
26691,1630,1
26698,1631,1
26699,1632,1
26703,1633,1
26706,1634,1
26710,1635,1
26722,1636,1
26726,1637,1
26727,1638,1
26730,1639,1
26731,1640,1
26735,1641,1
26737,1642,1
26749,1643,1
26754,1644,1
26756,1645,1
26759,1646,1
26763,1647,1
26765,1648,1
26768,1649,1
26773,1650,1
26774,1651,1
26778,1652,1
26780,1653,1
26782,1654,1
26786,1655,1
26789,1656,1
26792,1657,1
26798,1658,1
26800,1659,1
26803,1660,1
26808,1661,1
26817,1662,1
26822,1663,1
26824,1664,1
26830,1665,1
26832,1666,1
26834,1667,1
26836,1668,1
26837,1669,1
26841,1670,1
26842,1671,1
26846,1672,1
26851,1673,1
26852,1674,1
26856,1675,1
26860,1676,1
26866,1677,1
26871,1678,1
26875,1679,1
26879,1680,1
26881,1681,1
26886,1682,1
26891,1683,1
26893,1684,1
26899,1685,1
26904,1686,1
26909,1687,1
26913,1688,1
26918,1689,1
26921,1690,1
26925,1691,1
26930,1692,1
26935,1693,1
26939,1694,1
26943,1695,1
26946,1696,1
26948,1697,1
26952,1698,1
26955,1699,1
26958,1700,1
26963,1701,1
26968,1702,1
26971,1703,1
26976,1704,1
26981,1705,1
26983,1706,1
26984,1707,1
26989,1708,1
26991,1709,1
26993,1710,1
26994,1711,1
26998,1712,1
27003,1713,1
27008,1714,1
27012,1715,1
27015,1716,1
27018,1717,1
27027,1718,1
27029,1719,1
27031,1720,1
27032,1721,1
27036,1722,1
27040,1723,1
27043,1724,1
27048,1725,1
27051,1726,1
27056,1727,1
27061,1728,1
27065,1729,1
27068,1730,1
27073,1731,1
27075,1732,1
27078,1733,1
27082,1734,1
27085,1735,1
27089,1736,1
27092,1737,1
27097,1738,1
27102,1739,1
27106,1740,1
27116,1741,1
27120,1742,1
27123,1743,1
27126,1744,1
27130,1745,1
27135,1746,1
27139,1747,1
27145,1748,1
27150,1749,1
27153,1750,1
27157,1751,1
27160,1752,1
27164,1753,1
27167,1754,1
27171,1755,1
27175,1756,1
27179,1757,1
27188,1758,1
27192,1759,1
27197,1760,1
27204,1761,1
27207,1762,1
27210,1763,1
27215,1764,1
27220,1765,1
27225,1766,1
27227,1767,1
27231,1768,1
27234,1769,1
27237,1770,1
27241,1771,1
27245,1772,1
27248,1773,1
27252,1774,1
27255,1775,1
27258,1776,1
27263,1777,1
27265,1778,1
27268,1779,1
27271,1780,1
27276,1781,1
27279,1782,1
27283,1783,1
27286,1784,1
27287,1785,1
27290,1786,1
27297,1787,1
27299,1788,1
27301,1789,1
27303,1790,1
27305,1791,1
27310,1792,1
27314,1793,1
27318,1794,1
27323,1795,1
27329,1796,1
27336,1797,1
27337,1798,1
27342,1799,1
27345,1800,1
27349,1801,1
27356,1802,1
27359,1803,1
27363,1804,1
27365,1805,1
27370,1806,1
27373,1807,1
27375,1808,1
27376,1809,1
27379,1810,1
27383,1811,1
27387,1812,1
27393,1813,1
27394,1814,1
27398,1815,1
27403,1816,1
27408,1817,1
27411,1818,1
27413,1819,1
27416,1820,1
27418,1821,1
27423,1822,1
27427,1823,1
27430,1824,1
27431,1825,1
27437,1826,1
27442,1827,1
27445,1828,1
27451,1829,1
27454,1830,1
27456,1831,1
27460,1832,1
27464,1833,1
27467,1834,1
27469,1835,1
27472,1836,1
27475,1837,1
27479,1838,1
27484,1839,1
27486,1840,1
27490,1841,1
27493,1842,1
27497,1843,1
27501,1844,1
27505,1845,1
27508,1846,1
27513,1847,1
27516,1848,1
27519,1849,1
27522,1850,1
27525,1851,1
27528,1852,1
27531,1853,1
27535,1854,1
27538,1855,1
27541,1856,1
27544,1857,1
27550,1858,1
27552,1859,1
27556,1860,1
27560,1861,1
27574,1862,1
27575,1863,1
27576,1864,1
27581,1865,1
27586,1866,1
27589,1867,1
27595,1868,1
