#{"t_start": 1755965729.7466593, "env_id": "PandaReach-v3"}
r,l,t
-14.0,15,407.429386
-2.0,3,407.487225
-33.0,34,408.268645
-5.0,6,408.423138
-5.0,6,408.557541
-50.0,50,409.728855
-3.0,4,409.817717
-50.0,50,410.963143
-3.0,4,411.040725
-1.0,2,411.078583
-8.0,9,411.252123
-3.0,4,411.3404
-50.0,50,412.417172
-3.0,4,412.51354
-4.0,5,412.635374
-50.0,50,413.862071
-1.0,2,413.900481
-10.0,11,414.111734
-32.0,33,414.70944
-50.0,50,415.937809
-15.0,16,416.303051
-6.0,7,416.458716
-1.0,2,416.504198
-50.0,50,417.55537
0.0,1,417.575122
-9.0,10,417.772007
-50.0,50,418.96941
0.0,1,418.996416
-21.0,22,419.507952
-50.0,50,420.67365
-1.0,2,420.72065
-19.0,20,421.18062
-4.0,5,421.301136
-50.0,50,422.359908
-4.0,5,422.45063
-4.0,5,422.559623
-2.0,3,422.617304
-2.0,3,422.672946
-3.0,4,422.748827
-50.0,50,423.962345
-3.0,4,424.056705
-1.0,2,424.104213
-50.0,50,425.166747
-50.0,50,426.179687
-2.0,3,426.250768
-50.0,50,427.40863
-4.0,5,427.543867
-12.0,13,427.864263
-2.0,3,427.94275
-3.0,4,428.081235
-3.0,4,428.197587
-2.0,3,428.283999
-50.0,50,429.705477
-3.0,4,429.812964
-50.0,50,431.246429
-2.0,3,431.370115
-3.0,4,431.482948
-50.0,50,433.085905
-50.0,50,434.375361
-2.0,3,434.455628
-8.0,9,434.662443
-10.0,11,434.935795
-7.0,8,435.131474
-31.0,32,435.959054
-2.0,3,436.031011
-4.0,5,436.151006
-3.0,4,436.247247
-16.0,17,436.652444
-1.0,2,436.697422
-5.0,6,436.840408
-8.0,9,437.085348
-4.0,5,437.213335
-3.0,4,437.313697
-10.0,11,437.570368
-12.0,13,437.890353
-2.0,3,437.984824
-6.0,7,438.16065
-4.0,5,438.283591
-10.0,11,438.532916
-15.0,16,438.873804
-1.0,2,438.930918
-50.0,50,440.289126
-2.0,3,440.385552
-2.0,3,440.485317
-50.0,50,441.729015
-7.0,8,441.926553
-4.0,5,442.055438
-4.0,5,442.232898
-1.0,2,442.293743
-2.0,3,442.370327
-6.0,7,442.539273
