#{"t_start": 1756043710.4567063, "env_id": "PandaPush-v3"}
r,l,t
0.0,1,988.975313
-50.0,50,991.145358
-50.0,50,992.932516
-50.0,50,994.499136
-50.0,50,995.88681
-50.0,50,997.415487
-50.0,50,998.933511
-50.0,50,1000.406554
-50.0,50,1001.764752
-50.0,50,1003.103719
-50.0,50,1004.425801
-50.0,50,1005.849436
-50.0,50,1007.443977
0.0,1,1007.473183
-50.0,50,1008.841616
-50.0,50,1010.404751
-50.0,50,1012.182724
-50.0,50,1013.767315
-50.0,50,1015.115069
-50.0,50,1016.637186
-50.0,50,1018.690869
-50.0,50,1020.318804
-50.0,50,1021.750659
-50.0,50,1023.215861
-50.0,50,1024.541045
-50.0,50,1025.984034
-50.0,50,1027.407315
-50.0,50,1028.883044
-50.0,50,1030.292156
-50.0,50,1031.657573
-9.0,10,1031.93135
-50.0,50,1033.391834
-50.0,50,1035.190572
-50.0,50,1036.664266
-50.0,50,1037.974699
